candidate_id,rank,score,reasoning
CAND_0022812,42,0.810899,"Applied ML Engineer at Dream11, 4.5 yrs exp | career history shows ranking/search/reco systems built | response rate 0.79"
CAND_0029367,43,0.80934,"Senior Data Scientist at Rephrase.ai, 5.7 yrs exp | career history shows ranking/search/reco systems built | open to work, active recently | response rate 0.77"
CAND_0079064,44,0.806728,"Senior Data Scientist at Niramai, 5.2 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.91 | concern: long notice period (120 days)"
CAND_0096172,45,0.80577,"NLP Engineer at Krutrim, 5.2 yrs exp | career history shows ranking/search/reco systems built | response rate 0.47"
CAND_0030348,46,0.805206,"Machine Learning Engineer at BYJU'S, 4.5 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.54"
CAND_0071974,47,0.804515,"Senior AI Engineer at Netflix, 7.8 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.76"
CAND_0053695,48,0.803417,"Recommendation Systems Engineer at Meesho, 5.8 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.60"
CAND_0037000,49,0.80045,"Search Engineer at Unacademy, 2.7 yrs exp | career history shows ranking/search/reco systems built | response rate 0.61 | concern: under-experienced for this role (2.7 yrs)"
CAND_0018722,50,0.799185,"Recommendation Systems Engineer at Saarthi.ai, 6.6 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.79"
CAND_0058575,51,0.796665,"AI Engineer at Krutrim, 5.8 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.69"
CAND_0062247,52,0.791605,"AI Engineer at Google, 7.3 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.78"
CAND_0076251,53,0.790607,"Search Engineer at Haptik, 7.6 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.51"
CAND_0016163,54,0.789278,"Applied ML Engineer at Dream11, 6.7 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.72 | concern: long notice period (120 days)"
CAND_0093912,55,0.788298,"Senior Data Scientist at Razorpay, 5.3 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.66"
CAND_0007009,56,0.787993,"Recommendation Systems Engineer at Wysa, 7.9 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.62"
CAND_0011162,57,0.784585,"Recommendation Systems Engineer at upGrad, 5.8 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.75"
CAND_0064326,58,0.784357,"Search Engineer at Sarvam AI, 7.6 yrs exp | career history shows ranking/search/reco systems built | open to work, active recently | response rate 0.94"
CAND_0031593,59,0.783794,"Search Engineer at Genpact AI, 7.8 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.58"
CAND_0024466,60,0.783737,"Search Engineer at PharmEasy, 5.2 yrs exp | career history shows ranking/search/reco systems built | open to work, active recently | response rate 0.47 | concern: long notice period (120 days)"
CAND_0020877,61,0.781506,"Applied ML Engineer at CRED, 5.1 yrs exp | career history shows ranking/search/reco systems built | response rate 0.66"
CAND_0005538,62,0.781207,"Senior AI Engineer at Adobe, 5.9 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.81"
CAND_0054394,63,0.780976,"Recommendation Systems Engineer at PharmEasy, 4.1 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.64"
CAND_0094056,64,0.78087,"NLP Engineer at Rephrase.ai, 5.9 yrs exp | career history shows ranking/search/reco systems built | response rate 0.82 | concern: long notice period (120 days)"
CAND_0069905,65,0.778319,"Applied ML Engineer at Sarvam AI, 6.6 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.78"
CAND_0041610,66,0.773899,"Recommendation Systems Engineer at Zoho, 6.7 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.52"
CAND_0050454,67,0.770135,"AI Engineer at Rephrase.ai, 6.8 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.77"
CAND_0070202,68,0.767618,"Machine Learning Engineer at BYJU'S, 5.1 yrs exp | career history shows ranking/search/reco systems built | recently active on platform | response rate 0.60"
CAND_0007412,69,0.767109,"Applied ML Engineer at Zoho, 7.4 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.76 | concern: long notice period (120 days)"
CAND_0018549,70,0.766588,"Recommendation Systems Engineer at Uber, 6.8 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.73"
CAND_0065878,71,0.765435,"Senior Data Scientist at Niramai, 7.8 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.48"
CAND_0064270,72,0.764327,"Applied ML Engineer at Verloop.io, 4.2 yrs exp | career history shows ranking/search/reco systems built | response rate 0.82"
CAND_0020708,73,0.76411,"Search Engineer at PolicyBazaar, 4.2 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.84"
CAND_0041669,74,0.763647,"Recommendation Systems Engineer at CRED, 8.0 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.77"
CAND_0000031,75,0.761821,"Recommendation Systems Engineer at Swiggy, 6.0 yrs exp | career history shows ranking/search/reco systems built | open to work, active recently | response rate 0.91"
CAND_0017960,76,0.760933,"Recommendation Systems Engineer at Nykaa, 7.7 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.72"
CAND_0012957,77,0.760744,"Search Engineer at Razorpay, 4.9 yrs exp | career history shows ranking/search/reco systems built | response rate 0.67 | concern: long notice period (120 days)"
CAND_0010257,78,0.757608,"Senior Data Scientist at Google, 6.5 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.72 | concern: long notice period (120 days)"
CAND_0027801,79,0.749067,"NLP Engineer at InMobi, 7.4 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.65 | concern: long notice period (120 days)"
CAND_0051630,80,0.747508,"Machine Learning Engineer at Razorpay, 6.0 yrs exp | career history shows ranking/search/reco systems built | response rate 0.51"
CAND_0052335,81,0.743461,"Applied ML Engineer at Aganitha, 6.4 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.79"
CAND_0093547,82,0.743275,"Senior Machine Learning Engineer at PhonePe, 2.9 yrs exp | career history shows ranking/search/reco systems built | response rate 0.75 | concern: under-experienced for this role (2.9 yrs)"
CAND_0061339,83,0.739903,"Search Engineer at Rephrase.ai, 4.2 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.90"
CAND_0030468,84,0.738575,"Senior Applied Scientist at Swiggy, 5.4 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.78"
CAND_0030031,85,0.738112,"AI Engineer at Microsoft, 5.7 yrs exp | career history shows ranking/search/reco systems built | recently active on platform | response rate 0.94"
CAND_0070485,86,0.736636,"Search Engineer at Saarthi.ai, 6.4 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.45 | concern: long notice period (120 days)"
CAND_0075574,87,0.73282,"Machine Learning Engineer at Haptik, 5.7 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.58"
CAND_0011327,88,0.730374,"AI Research Engineer at Krutrim, 6.3 yrs exp | career history shows ranking/search/reco systems built | open to work, active recently | response rate 0.79"
CAND_0099401,89,0.729889,"NLP Engineer at Dream11, 7.7 yrs exp | career history shows ranking/search/reco systems built | recently active on platform | response rate 0.42"
CAND_0006557,90,0.72552,"NLP Engineer at Paytm, 7.9 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.63 | concern: long notice period (120 days)"
CAND_0042506,91,0.723265,"Search Engineer at Verloop.io, 4.2 yrs exp | career history shows ranking/search/reco systems built | open to work, active recently | response rate 0.48"
CAND_0047721,92,0.723101,"Senior Data Scientist at Microsoft, 7.0 yrs exp | career history shows ranking/search/reco systems built | response rate 0.49"
CAND_0049896,93,0.718613,"Search Engineer at Unacademy, 7.3 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.43"
CAND_0061655,94,0.718059,"Machine Learning Engineer at Krutrim, 4.6 yrs exp | career history shows ranking/search/reco systems built | recently active on platform | response rate 0.88"
CAND_0076831,95,0.717923,"Search Engineer at Krutrim, 4.0 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.50"
CAND_0039838,96,0.717911,"Recommendation Systems Engineer at Amazon, 4.9 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.80"
CAND_0098846,97,0.717874,"AI Engineer at upGrad, 7.6 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.62"
CAND_0083879,98,0.717183,"Machine Learning Engineer at Ola, 7.1 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.47"
CAND_0006538,99,0.71708,"AI Specialist at Dream11, 5.7 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.86"
CAND_0019480,100,0.717055,"NLP Engineer at Meesho, 2.8 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.87 | concern: under-experienced for this role (2.8 yrs)"
